iter	Passed	Remaining
0	9	9033
1	18	9469
2	29	9817
3	39	9842
4	49	9908
5	58	9753
6	69	9847
7	79	9872
8	89	9885
9	100	9966
10	111	10026
11	121	10028
12	132	10062
13	142	10040
14	153	10050
15	163	10043
16	172	9980
17	182	9956
18	192	9925
19	201	9878
20	211	9850
21	220	9800
22	230	9797
23	239	9740
24	249	9717
25	258	9676
26	267	9649
27	277	9635
28	286	9604
29	296	9602
30	306	9575
31	315	9542
32	325	9531
33	334	9508
34	345	9528
35	356	9554
36	369	9612
37	380	9621
38	389	9609
39	399	9598
40	410	9604
41	420	9602
42	431	9601
43	441	9597
44	451	9578
45	461	9579
46	472	9576
47	481	9559
48	492	9556
49	502	9543
50	513	9563
51	524	9569
52	535	9564
53	546	9576
54	557	9580
55	567	9558
56	577	9561
57	588	9550
58	597	9537
59	608	9528
60	617	9498
61	627	9492
62	637	9476
63	646	9454
64	656	9442
65	665	9417
66	675	9408
67	685	9397
68	694	9374
69	705	9367
70	714	9344
71	724	9335
72	733	9316
73	744	9311
74	753	9298
75	763	9283
76	773	9270
77	783	9256
78	792	9243
79	802	9230
80	811	9209
81	821	9196
82	830	9177
83	840	9161
84	850	9157
85	859	9139
86	869	9129
87	879	9115
88	889	9104
89	898	9088
90	908	9074
91	918	9064
92	927	9044
93	938	9040
94	947	9029
95	956	9009
96	966	9001
97	976	8986
98	986	8975
99	995	8957
100	1004	8943
101	1014	8932
102	1023	8913
103	1033	8902
104	1042	8888
105	1052	8879
106	1063	8873
107	1073	8862
108	1083	8856
109	1093	8844
110	1103	8837
111	1113	8832
112	1124	8823
113	1134	8819
114	1145	8811
115	1155	8803
116	1165	8797
117	1175	8787
118	1186	8782
119	1196	8774
120	1206	8761
121	1216	8756
122	1226	8748
123	1236	8736
124	1246	8728
125	1257	8719
126	1266	8709
127	1276	8694
128	1286	8684
129	1295	8670
130	1304	8656
131	1314	8645
132	1323	8629
133	1333	8617
134	1343	8606
135	1352	8592
136	1363	8586
137	1372	8572
138	1383	8568
139	1393	8559
140	1403	8550
141	1414	8546
142	1424	8537
143	1434	8527
144	1445	8522
145	1455	8515
146	1466	8509
147	1476	8499
148	1486	8489
149	1496	8481
150	1507	8473
151	1516	8462
152	1527	8455
153	1537	8444
154	1547	8438
155	1557	8427
156	1567	8419
157	1578	8412
158	1588	8404
159	1598	8393
160	1608	8384
161	1618	8373
162	1628	8363
163	1639	8355
164	1649	8345
165	1660	8340
166	1670	8330
167	1680	8320
168	1690	8312
169	1700	8300
170	1710	8293
171	1720	8284
172	1730	8274
173	1748	8300
174	1759	8294
175	1770	8287
176	1780	8279
177	1791	8272
178	1801	8263
179	1812	8254
180	1822	8246
181	1832	8237
182	1843	8230
183	1854	8223
184	1864	8212
185	1875	8205
186	1886	8200
187	1896	8190
188	1907	8183
189	1917	8176
190	1928	8167
191	1938	8159
192	1948	8149
193	1959	8140
194	1970	8134
195	1980	8124
196	1991	8117
197	2002	8109
198	2012	8099
199	2022	8090
200	2033	8081
201	2043	8072
202	2054	8067
203	2066	8062
204	2077	8057
205	2088	8051
206	2100	8046
207	2111	8039
208	2122	8033
209	2134	8029
210	2145	8021
211	2156	8015
212	2168	8011
213	2179	8003
214	2190	7997
215	2201	7991
216	2213	7985
217	2224	7980
218	2236	7975
219	2247	7968
220	2258	7960
221	2269	7953
222	2280	7947
223	2291	7938
224	2303	7932
225	2314	7926
226	2325	7919
227	2336	7912
228	2347	7904
229	2358	7894
230	2369	7887
231	2379	7878
232	2390	7868
233	2401	7861
234	2411	7851
235	2422	7841
236	2433	7835
237	2444	7826
238	2454	7816
239	2466	7809
240	2476	7799
241	2486	7788
242	2496	7776
243	2506	7764
244	2516	7753
245	2525	7740
246	2535	7728
247	2546	7720
248	2555	7707
249	2581	7745
250	2591	7732
251	2600	7719
252	2610	7707
253	2620	7695
254	2629	7683
255	2639	7670
256	2649	7659
257	2659	7647
258	2668	7635
259	2678	7622
260	2687	7609
261	2697	7597
262	2706	7585
263	2716	7573
264	2726	7562
265	2736	7551
266	2746	7541
267	2756	7529
268	2766	7518
269	2776	7507
270	2786	7495
271	2796	7484
272	2806	7474
273	2816	7461
274	2826	7451
275	2836	7440
276	2846	7429
277	2855	7416
278	2865	7403
279	2875	7393
280	2884	7380
281	2894	7370
282	2904	7359
283	2914	7347
284	2924	7336
285	2934	7324
286	2944	7314
287	2953	7302
288	2963	7291
289	2974	7283
290	2985	7272
291	2994	7261
292	3004	7250
293	3014	7238
294	3023	7226
295	3033	7214
296	3044	7206
297	3054	7196
298	3065	7186
299	3076	7178
300	3087	7170
301	3098	7161
302	3109	7153
303	3121	7146
304	3133	7139
305	3142	7127
306	3152	7116
307	3162	7104
308	3172	7093
309	3181	7082
310	3191	7070
311	3201	7059
312	3210	7046
313	3220	7036
314	3230	7024
315	3240	7014
316	3250	7004
317	3260	6993
318	3271	6983
319	3281	6972
320	3291	6961
321	3300	6950
322	3310	6938
323	3321	6929
324	3330	6917
325	3340	6906
326	3350	6895
327	3359	6882
328	3369	6871
329	3379	6861
330	3389	6850
331	3399	6840
332	3409	6829
333	3419	6818
334	3429	6808
335	3439	6797
336	3449	6785
337	3458	6774
338	3469	6764
339	3479	6753
340	3488	6741
341	3498	6731
342	3508	6719
343	3518	6710
344	3528	6699
345	3538	6687
346	3548	6677
347	3557	6665
348	3568	6655
349	3578	6645
350	3588	6635
351	3598	6625
352	3609	6615
353	3619	6605
354	3630	6596
355	3640	6585
356	3650	6575
357	3660	6564
358	3670	6553
359	3680	6543
360	3690	6533
361	3701	6524
362	3711	6513
363	3722	6504
364	3733	6496
365	3744	6486
366	3754	6475
367	3765	6466
368	3775	6455
369	3785	6445
370	3796	6435
371	3806	6425
372	3817	6417
373	3827	6407
374	3837	6396
375	3848	6386
376	3858	6375
377	3868	6365
378	3878	6355
379	3888	6344
380	3899	6335
381	3909	6325
382	3921	6316
383	3931	6307
384	3943	6298
385	3954	6289
386	3965	6280
387	3975	6271
388	3986	6261
389	3997	6252
390	4008	6242
391	4017	6231
392	4029	6223
393	4040	6214
394	4050	6204
395	4062	6195
396	4073	6186
397	4084	6177
398	4095	6168
399	4106	6160
400	4117	6150
401	4129	6142
402	4140	6133
403	4151	6124
404	4162	6114
405	4172	6105
406	4183	6094
407	4193	6085
408	4204	6075
409	4214	6064
410	4225	6055
411	4236	6045
412	4245	6034
413	4257	6025
414	4267	6015
415	4277	6004
416	4287	5994
417	4297	5983
418	4308	5974
419	4319	5965
420	4333	5959
421	4345	5952
422	4386	5983
423	4396	5972
424	4406	5961
425	4416	5950
426	4426	5939
427	4436	5929
428	4446	5917
429	4457	5908
430	4468	5898
431	4477	5887
432	4488	5877
433	4499	5867
434	4509	5857
435	4520	5847
436	4530	5837
437	4541	5826
438	4551	5816
439	4561	5805
440	4572	5795
441	4582	5785
442	4593	5775
443	4604	5765
444	4614	5754
445	4623	5742
446	4632	5731
447	4643	5720
448	4653	5710
449	4663	5699
450	4672	5688
451	4683	5678
452	4693	5667
453	4703	5656
454	4713	5645
455	4723	5634
456	4735	5626
457	4745	5616
458	4756	5605
459	4768	5597
460	4779	5588
461	4791	5580
462	4802	5570
463	4813	5560
464	4823	5549
465	4834	5539
466	4845	5529
467	4855	5519
468	4866	5509
469	4877	5499
470	4887	5489
471	4897	5478
472	4907	5468
473	4918	5457
474	4929	5447
475	4939	5437
476	4949	5427
477	4960	5416
